2021-10-12 18:04:38 INFO  Logging:274 - New withdrawal detected.
2021-10-12 18:06:05 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:06:15 INFO  Logging:274 - New withdrawal detected.
2021-10-12 18:08:38 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:08:43 INFO  Logging:274 - New withdrawal detected.
2021-10-12 18:12:55 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:13:03 INFO  Logging:274 - New withdrawal detected.
2021-10-12 18:14:32 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:15:09 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:17:01 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:17:29 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:19:04 WARN  Logging:48 - User has used an incorrect password
2021-10-12 18:19:10 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:29:28 INFO  Logging:81 - User was successfully logged in
2021-10-12 18:29:34 WARN  Logging:322 - Employee has searched for a username that does not exist
2021-10-12 18:53:34 INFO  Logging:51 - User was successfully logged in
2021-10-12 18:53:47 INFO  Logging:81 - User was successfully logged in
2021-10-12 18:54:07 WARN  Logging:344 - Employee has searched for a username that does not exist.
2021-10-12 18:56:28 INFO  Logging:81 - User was successfully logged in
2021-10-12 18:58:22 INFO  Logging:81 - User was successfully logged in
2021-10-12 19:32:16 INFO  Logging:81 - User was successfully logged in
2021-10-12 19:35:42 INFO  Logging:81 - User was successfully logged in
2021-10-12 19:36:36 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:13:23 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:15:51 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:16:58 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:19:25 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:28:06 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:29:42 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:30:39 WARN  Logging:78 - User has used an incorrect password
2021-10-12 20:30:44 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:33:16 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:36:42 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:41:49 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:49:56 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:52:00 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:54:29 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:54:34 WARN  Logging:318 - Employee has searched for a username that does not exist.
2021-10-12 20:55:42 INFO  Logging:81 - User was successfully logged in
2021-10-12 20:55:45 WARN  Logging:318 - Employee has searched for a username that does not exist.
2021-10-12 21:19:09 WARN  Logging:36 - SQL Error detected.
2021-10-12 21:38:44 INFO  Logging:51 - User was successfully logged in
2021-10-12 21:42:18 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-12 21:43:04 INFO  Logging:51 - User was successfully logged in
2021-10-12 21:43:20 INFO  Logging:216 - New pending account detected.
2021-10-12 21:44:18 INFO  Logging:81 - User was successfully logged in
2021-10-12 21:45:24 INFO  Logging:51 - User was successfully logged in
2021-10-12 21:45:38 INFO  Logging:246 - New deposit detected.
2021-10-12 21:47:06 INFO  Logging:51 - User was successfully logged in
2021-10-12 21:47:16 INFO  Logging:246 - New deposit detected.
2021-10-12 21:47:25 INFO  Logging:246 - New deposit detected.
2021-10-12 21:48:14 INFO  Logging:51 - User was successfully logged in
2021-10-12 21:48:27 INFO  Logging:246 - New deposit detected.
2021-10-12 21:50:01 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-12 21:50:09 WARN  Logging:75 - User has tried logging in with a username that does not exist.
2021-10-12 21:51:42 INFO  Logging:51 - User was successfully logged in
2021-10-12 21:51:46 INFO  Logging:246 - New deposit detected.
2021-10-12 21:52:29 INFO  Logging:51 - User was successfully logged in
2021-10-12 21:52:38 INFO  Logging:246 - New deposit detected.
2021-10-12 21:52:45 INFO  Logging:246 - New deposit detected.
2021-10-12 21:54:49 INFO  Logging:246 - New deposit detected.
2021-10-12 21:55:16 INFO  Logging:271 - New withdrawal detected.
2021-10-12 21:55:24 INFO  Logging:271 - New withdrawal detected.
